component_a,component_b,aggregate_gradient_cosine,mean_per_system_cosine,negative_system_fraction
coordinate,velocity_vector,-0.13842228055000305,0.2715821932943072,0.21875
coordinate,atom_rmsf,0.964894711971283,0.4155609286390245,0.28125
coordinate,speed_w1,0.8480678796768188,0.4338567415252328,0.28125
coordinate,contact_transition,0.9567931890487671,0.4308428601361811,0.28125
coordinate,multi_lag_velocity_correlation,-0.3801119029521942,-0.1077137426182162,0.625
velocity_vector,atom_rmsf,-0.2357769012451172,0.058383975410833955,0.5
velocity_vector,speed_w1,-0.6083575487136841,0.017690778709948063,0.5
velocity_vector,contact_transition,-0.01013067364692688,0.1377259262226289,0.46875
velocity_vector,multi_lag_velocity_correlation,0.9495542645454407,-0.13554413942620158,0.59375
atom_rmsf,speed_w1,0.9118630290031433,0.9254713505506516,0.0
atom_rmsf,contact_transition,0.9734708070755005,0.8436192777007818,0.0625
atom_rmsf,multi_lag_velocity_correlation,-0.48258745670318604,-0.25905943545512855,0.71875
speed_w1,contact_transition,0.7950916886329651,0.7272980865091085,0.0625
speed_w1,multi_lag_velocity_correlation,-0.7913975119590759,-0.31004543881863356,0.6875
contact_transition,multi_lag_velocity_correlation,-0.27321529388427734,-0.12319176335586235,0.65625
