group,source,metric,baseline,candidate,delta,no_worse,improved
required,joint,geo_mean_rmsd,1.458827232074081,1.4587789442626775,-4.828781140342464e-05,True,False
required,joint,geo_final_rmsd,1.689021847178759,1.6888906908518682,-0.00013115632689086887,True,False
required,joint,phys_mean_bond_drift,0.03454668884391468,0.03454669001252143,1.1686067530325417e-09,True,False
required,joint,phys_mean_angle_drift_deg,2.2888139596674946,2.288814021050702,6.13832074058962e-08,True,False
required,joint,phys_internal_clash_frame_ratio,0.0034812547819433825,0.0034812547819433825,0.0,True,False
required,joint,phys_protein_clash_frame_ratio,0.5870696250956389,0.586266258607498,-0.0008033664881408331,True,True
required,joint,dyn_centroid_final_msd_abs_error,6.598136547377138,6.597851754449074,-0.0002847929280633821,True,False
required,joint,stab_mean_internal_distance_mae,0.24314931334604173,0.24312149555733756,-2.7817788704170843e-05,True,True
required,joint,stab_final_internal_distance_mae,0.2688606059650428,0.2688227729029617,-3.783306208110515e-05,True,True
required,joint,stab_mean_rg_abs_error,0.09220747119164936,0.09217178858189566,-3.568260975370108e-05,True,True
required,joint,stab_final_rg_abs_error,0.10502274289966633,0.10495907455887973,-6.366834078659622e-05,True,True
required,joint,stab_rmsd_growth,0.6524587142029699,0.6509558970269668,-0.0015028171760030906,True,True
required,extended,stab_long_window_rmsd,1.655953938006078,1.6558043360254102,-0.0001496019806677129,True,False
required,extended,stab_window_rmsd_growth,0.4139928013291538,0.4136661927528571,-0.00032660857629668305,True,True
required,topology,phys_bond_abs_error,0.03393212983537217,0.033932130440339936,6.049677633845896e-10,True,False
required,topology,phys_bond_violation_fraction,0.0011227547333502754,0.0011227547333502754,0.0,True,False
required,topology,phys_bond_break_fraction,0.0,0.0,0.0,True,False
required,topology,phys_angle_abs_error_deg,2.741842618814934,2.7418426192709755,4.560414268439672e-10,True,False
required,topology,phys_angle_violation_fraction,0.00017790535479681892,0.00017790535479681892,0.0,True,False
required,topology,phys_internal_clash_frame_ratio,0.0034812547819433825,0.0034812547819433825,0.0,True,False
required,topology,phys_protein_clash_frame_ratio,0.5870696250956389,0.586266258607498,-0.0008033664881408331,True,True
required,topology,phys_invalid_frame_ratio,0.6031752104055088,0.602371843917368,-0.0008033664881408331,True,True
dyn:rmsf,extended,dyn_atom_rmsf_mae,0.9549514454288527,0.9545551542571782,-0.000396291171674501,True,True
dyn:step_speed,joint,dyn_step_speed_w1,0.9936943468741086,0.993437720945799,-0.0002566259283096617,True,True
dyn:contact_distance,joint,dyn_contact_w1,0.3156715928938157,0.31564475311495094,-2.6839778864751196e-05,True,False
dyn:contact_transition,joint,dyn_contact_transition_abs_error,0.03408217069287407,0.034061087075785215,-2.108361708885731e-05,True,True
dyn:velocity_correlation,extended,dyn_velocity_correlation_multilag_abs_error,0.13063737917674711,0.13054828515882927,-8.909401791784566e-05,True,True
anti_collapse,joint,anti_rmsf_ratio,0.04587083776194841,0.04630724662339871,0.0004364088614502992,True,True
anti_collapse,joint,anti_step_speed_ratio,0.02248908974206044,0.02274153625952555,0.0002524465174651089,True,True
anti_collapse,joint,anti_contact_transition_ratio,0.03620175366833609,0.03679850822167392,0.0005967545533378318,True,True
