split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.brier,0.013628065614181692,0.00704269135120199,0.016645258096936472,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.brier,0.03404908695661855,0.017333228225071825,0.038078648446489,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.brier,0.009966790285305472,0.005513732412647318,0.012548011822657277,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.distance_w1_angstrom,0.7565971253167743,0.5050805640346547,1.0316395321331526,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.distance_w1_angstrom,2.4290899789398277,1.4568455894221097,2.619496573038077,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.distance_w1_angstrom,0.7694384621751281,0.48554884878080773,1.0738855561893903,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.joint_occurrence_mae_lag_160.0ps,0.01066035270786295,0.006299011548540739,0.013927067692433733,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_160.0ps,0.031164470769133888,0.01698336571151044,0.03396461903161239,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_160.0ps,0.009619244337028727,0.005411912117009204,0.01206154926391097,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.joint_occurrence_mae_lag_320.0ps,0.010550485546515614,0.006349881842278726,0.013220072215243593,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_320.0ps,0.0299698973614752,0.015443757631257632,0.03286561275869795,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_320.0ps,0.009694390988681488,0.005410975313973368,0.012128401496766954,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.joint_occurrence_mae_lag_640.0ps,0.010422319466051355,0.0064759074158210915,0.01324711519687216,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_640.0ps,0.027940591166043957,0.015420383713615829,0.030611479322163362,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_640.0ps,0.009794398093759494,0.005561955965181772,0.012206034370725278,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.joint_occurrence_mae_lag_80.0ps,0.010440312715589817,0.006219700917460168,0.013361279250532153,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_80.0ps,0.03165049077678151,0.01728464529669349,0.03451261732555154,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_80.0ps,0.009656500145026224,0.0054349814650924005,0.012124288400939277,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.predicted_contact_fraction,0.04132501655403358,0.03298150974814404,0.03640442373328965,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.predicted_contact_fraction,0.05406099173729307,0.040724192717279284,0.04733287907515925,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.predicted_contact_fraction,0.04326188981304469,0.033475719552569644,0.03916716570826425,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.residues,488.93333333333334,421.5,344.0750114192341,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.residues,488.93333333333334,421.5,344.0750114192341,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.residues,488.93333333333334,421.5,344.0750114192341,90
truth90_validation,all,QField-Dyn,Dyn.contacts.all_residues.true_contact_fraction,0.04217627054219486,0.03141875709622481,0.039118471710570396,90
truth90_validation,all,Linear,Dyn.contacts.all_residues.true_contact_fraction,0.04217627054219486,0.03141875709622481,0.039118471710570396,90
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.true_contact_fraction,0.04217627054219486,0.03141875709622481,0.039118471710570396,90
