split,tier,reference,metric,systems,mean_difference,median_difference,lower_fraction,equal_fraction,ci95_low,ci95_high
truth90_validation,all,Linear,Dyn.contacts.all_residues.brier,90,-0.020421021342436854,-0.01033081236816381,0.8555555555555555,0.011111111111111112,-0.026138949492279052,-0.01508648205896446
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.brier,90,0.003661275328876221,0.0016127637495676242,0.2111111111111111,0.022222222222222223,0.0021229383301338586,0.005582987099767562
truth90_validation,all,Linear,Dyn.contacts.all_residues.distance_w1_angstrom,90,-1.6724928536230534,-0.8033059426650255,0.8777777777777778,0.0,-2.177483411604816,-1.254371308292166
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.distance_w1_angstrom,90,-0.012841336858353923,0.0005654935445386089,0.5,0.0,-0.0725077900981381,0.04324576955902547
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_160.0ps,90,-0.020504118061270935,-0.010882585882585883,0.8666666666666667,0.0,-0.026124906537969363,-0.015619961521881533
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_160.0ps,90,0.001041108370834225,0.00013137263676222692,0.4444444444444444,0.03333333333333333,-0.0005656802837113157,0.00285704332596548
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_320.0ps,90,-0.01941941181495959,-0.010382664931375534,0.8555555555555555,0.0,-0.024504565807482254,-0.01464007081786681
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_320.0ps,90,0.0008560945578341252,0.00018496952927990994,0.4222222222222222,0.011111111111111112,-0.0006575995057800649,0.002529476124838942
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_640.0ps,90,-0.0175182716999926,-0.009477435181660533,0.8444444444444444,0.044444444444444446,-0.022355092764111004,-0.012890768892376656
truth90_validation,all,NeuralMD,Dyn.contacts.all_residues.joint_occurrence_mae_lag_640.0ps,90,0.0006279213722918634,0.0,0.45555555555555555,0.12222222222222222,-0.0009147409729179503,0.002373209120561674
truth90_validation,all,Linear,Dyn.contacts.all_residues.joint_occurrence_mae_lag_80.0ps,90,-0.021210178061191683,-0.01132578537641829,0.8444444444444444,0.011111111111111112,-0.026729128024605062,-0.016277417449148304
