id,tier,common_valid,truth_common_valid,environment_valid,truth_environment_valid,Geo.mean_rmsd_angstrom,Geo.mean_rmsd_angstrom_minus_Linear,Geo.mean_rmsd_angstrom_minus_NeuralMD,Dyn.rmsf_mae_angstrom,Dyn.rmsf_mae_angstrom_minus_Linear,Dyn.rmsf_mae_angstrom_minus_NeuralMD,Dyn.contacts.observed_pocket.brier,Dyn.contacts.observed_pocket.brier_minus_Linear,Dyn.contacts.observed_pocket.brier_minus_NeuralMD,contains_assessed_geometry_failure
1BO5,T2,1.0,0.3,1.0,0.3,4.136336674160361,-6.3483379517580225,0.4486195895257943,2.080077166360682,-0.5030809934970324,-0.6734996593175744,0.4954545454545455,0.19090909090909092,0.10909090909090913,False
1F9G,T1,1.0,0.5,1.0,0.5,5.417863395938911,-0.16528337300275098,0.6140133784368178,1.5619033586694044,0.827025069023482,-0.5129934149425046,0.33,-0.09999999999999998,-0.02999999999999997,False
1FHR,T2,0.55,0.9,0.6,0.9,3.1461898598052893,-4.832227482579414,0.6736530878044871,0.5169826189998774,-1.7479092153618925,-0.6674396307233434,0.21470588235294116,-0.12058823529411763,0.055882352941176466,True
1NNU,T3,1.0,0.825,1.0,0.825,2.2335515146596534,-10.4360669062878,-0.4629322272242944,1.084598521375191,-4.173252155108176,-0.3564374728583901,0.2545454545454545,-0.3102272727272728,-0.010795454545454553,False
1P28,T2,1.0,0.9,1.0,0.9,15.534894703840862,-1.173180955365659,0.08732904442761935,10.261189754743636,2.7771860012617866,-0.4150347170069928,0.6333333333333333,0.1333333333333333,-0.06666666666666665,False
1QFT,T3,1.0,1.0,1.0,1.0,1.110730454047231,-6.419341540154713,-0.3755409858561134,0.44234659862170755,-2.4795183082056225,-0.22884871279164187,0.06607142857142857,-0.22767857142857145,0.026785714285714288,False
1R6N,T2,0.75,1.0,0.75,1.0,2.5978074840480683,-4.738205086317716,0.3631988803744428,0.2890497747611453,-0.8893138422781168,-0.9991648348594577,0.21666666666666667,-0.22333333333333333,0.006666666666666682,True
1SWI,T3,1.0,1.0,1.0,1.0,2.087931352778691,-15.63581563680716,-0.6043987503835373,1.3214396796919556,-5.356332140892693,0.062299636262689084,0.29017857142857145,-0.1294642857142857,-0.01517857142857143,False
1SYO,T3,0.9875,0.8,0.9875,0.8,5.8167889535814785,-28.86890400410433,-1.2762567591261993,1.4652575183768604,-12.872227911873544,-0.6625763511768059,0.46979166666666666,0.14166666666666666,-0.09895833333333331,True
1UZ4,T3,1.0,1.0,1.0,1.0,1.2174965027363975,-4.249642582201718,0.41631530656051197,0.12410168511899539,-1.741663295029864,-0.45838556957159254,0.10263157894736842,-0.14473684210526316,-0.0032894736842105227,False
2F10,T2,1.0,1.0,1.0,1.0,1.124178197132423,-0.6381529966378654,0.40013055073218484,0.3134770221087656,0.09657530835278505,-0.24446274034242,0.05,-0.13958333333333334,0.04166666666666667,False
2FQT,T1,1.0,1.0,1.0,1.0,1.0973672056830026,-0.03619546314632682,0.3760827398716461,0.07471464018940772,-0.07194897663732587,-0.3035778689754662,0.09642857142857143,-0.0035714285714285726,0.010714285714285718,False
2GVV,T1,1.0,1.0,1.0,1.0,1.27832170663316,-0.2596730770411113,0.4834284940161322,0.20858567912132459,0.06388626235654307,-0.27205486363652603,0.13636363636363635,-0.1,0.05909090909090908,False
2LBV,T3,0.725,0.7625,0.9375,0.7625,2.973812457590564,-19.049411864416356,0.2744959793443442,0.532997438864935,-9.375236851263129,-0.9290094413953638,0.3020833333333333,-0.27239583333333334,0.03385416666666663,True
2LY0,T3,1.0,0.9625,1.0,0.9625,2.146739738923901,-9.479269807027766,-0.10600364656076966,0.4725758426716778,-4.2248148020804726,-0.55928106126377,0.2700892857142857,-0.221875,0.030803571428571402,False
2OYM,T3,0.9625,1.0,0.9625,1.0,1.5662356277875886,-5.4271341892137555,0.6968991524631439,0.4992538390714449,-2.05660710361408,0.0023306778567135367,0.12329545454545454,-0.10738636363636364,0.04602272727272727,True
2POQ,T3,1.0,0.9125,1.0,0.9125,2.414307580512027,-9.678296905024363,0.1675090816753042,1.856599440733765,-2.118817943572873,-0.47347110357219946,0.19705882352941176,-0.18308823529411763,0.0338235294117647,False
2QPU,T1,1.0,1.0,1.0,1.0,2.081492478736369,-1.4290931640480413,0.7259729152644772,0.21328207692187856,-0.27237285265031713,-0.599542412566408,0.16,-0.01999999999999999,0.08,False
2VC9,T2,1.0,1.0,1.0,1.0,1.0224950766285072,-1.5500941850748258,0.42978637160865096,0.08959426930475245,-0.5551792682058556,-0.43485041773057975,0.1738095238095238,-0.02857142857142858,0.09523809523809523,False
2VCB,T2,1.0,0.95,1.0,0.95,2.199769630407336,-2.190318619773663,0.050497036663234685,0.7141339960128785,0.05090832293704095,-0.5485923430441082,0.18,-0.07,0.03999999999999998,False
2VMD,T1,1.0,1.0,1.0,1.0,1.2638822781845185,0.03853579295739107,0.09610430441677908,0.2096786678667778,-0.14448929574578678,-0.5345283135028102,0.07777777777777778,0.03333333333333333,0.0,False
