id,tier,finite,replay,resolution,integration_steps,final_valid_fraction,reference_valid_fraction
6RQK,T1,True,True,True,64,1.0,1.0
1FHR,T2,True,True,True,64,0.5,0.9
5O7E,T3,True,True,True,64,1.0,0.9875
6QDX,T1,True,True,True,64,1.0,0.9
6G0Z,T2,True,True,True,64,1.0,0.95
6E86,T3,True,True,True,256,0.375,0.9625
5UBG,T1,True,True,True,64,0.9,1.0
5MKA,T2,True,True,True,64,0.3,1.0
6IIK,T3,True,True,True,64,0.8125,0.9875
2FQT,T1,True,True,True,64,1.0,1.0
5D3X,T2,True,True,True,64,0.85,1.0
6A87,T3,True,True,True,64,0.9875,0.9625
6E13,T1,True,True,True,64,1.0,1.0
5SYM,T2,True,True,True,64,1.0,1.0
5C3P,T3,True,True,True,64,1.0,0.9625
6AR2,T1,True,True,True,64,0.8,0.8
2F10,T2,True,True,True,64,1.0,1.0
2LY0,T3,True,True,True,64,1.0,0.9625
2GVV,T1,True,True,True,64,1.0,1.0
3A1C,T2,True,True,True,64,1.0,1.0
5XO7,T3,True,True,True,64,0.95,0.725
4Z88,T1,True,True,True,64,0.7,1.0
3OKC,T2,True,True,True,64,1.0,0.75
5UV1,T3,True,True,True,64,0.95,1.0
4D4D,T1,True,True,True,64,0.8,0.9
4UAU,T2,True,True,True,64,1.0,1.0
4LIL,T3,True,True,True,64,0.9875,0.4125
6IRT,T1,True,True,True,64,1.0,1.0
5NWH,T2,True,True,True,64,0.95,1.0
1SWI,T3,True,True,True,64,1.0,1.0
1F9G,T1,True,True,True,64,1.0,0.5
6HQ7,T2,True,True,True,64,1.0,0.95
6KNH,T3,True,True,True,64,1.0,0.95
3E3C,T1,True,True,True,64,1.0,0.9
3R24,T2,True,True,True,64,1.0,1.0
4B4Q,T3,True,True,True,64,0.2625,1.0
5NW7,T1,True,True,True,64,0.9,1.0
2VCB,T2,True,True,True,64,1.0,0.95
2POQ,T3,True,True,True,64,1.0,0.9125
4POP,T1,True,True,True,64,1.0,1.0
5CSD,T2,True,True,True,64,0.65,0.95
2YAZ,T3,True,True,True,64,1.0,0.9875
3IL5,T1,True,True,True,64,1.0,1.0
1P28,T2,True,True,True,64,1.0,0.9
2LBV,T3,True,True,True,64,0.725,0.7625
5J4N,T1,True,True,True,64,1.0,1.0
5DV4,T2,True,True,True,64,0.7,1.0
1UZ4,T3,True,True,True,64,1.0,1.0
5CPR,T1,True,True,True,64,1.0,1.0
6B4H,T2,True,True,True,64,0.95,1.0
4YMH,T3,True,True,True,64,0.9625,1.0
4AQ4,T1,True,True,True,64,1.0,1.0
6GDY,T2,True,True,True,64,1.0,1.0
4JGV,T3,True,True,True,64,1.0,0.5875
2QPU,T1,True,True,True,64,1.0,1.0
6NAF,T2,True,True,True,64,1.0,1.0
2OYM,T3,True,True,True,64,0.95,1.0
4Y4V,T1,True,True,True,64,1.0,0.9
6H78,T2,True,True,True,64,1.0,1.0
4C1Y,T3,True,True,True,64,0.9875,1.0
5KDE,T1,True,True,True,64,0.5,1.0
1BO5,T2,True,True,True,64,1.0,0.3
5OHY,T3,True,True,True,64,1.0,1.0
6MI6,T1,True,True,True,64,1.0,1.0
1R6N,T2,True,True,True,64,0.75,1.0
5HFJ,T3,True,True,True,64,0.925,1.0
2WSX,T1,True,True,True,64,1.0,1.0
3HB4,T2,True,True,True,64,1.0,1.0
3ZZF,T3,True,True,True,64,1.0,1.0
4CD1,T1,True,True,True,64,1.0,1.0
5VQE,T2,True,True,True,64,1.0,1.0
1QFT,T3,True,True,True,64,1.0,0.9875
3NRZ,T1,True,True,True,64,1.0,1.0
5CW8,T2,True,True,True,64,1.0,0.95
1SYO,T3,True,True,True,64,0.975,0.8
2VMD,T1,True,True,True,64,1.0,1.0
5L13,T2,True,True,True,64,1.0,1.0
2XGS,T3,True,True,True,64,0.9875,1.0
6TL2,T1,True,True,True,64,1.0,1.0
4LH3,T2,True,True,True,64,1.0,1.0
2YMT,T3,True,True,True,64,0.7875,1.0
5B4W,T1,True,True,True,64,0.4,1.0
6HK6,T2,True,True,True,64,1.0,1.0
6H9X,T3,True,True,True,64,0.825,0.85
4CS9,T1,True,True,True,64,1.0,1.0
3P2E,T2,True,True,True,64,1.0,1.0
6SY7,T3,True,True,True,64,0.8125,0.6375
3AY0,T1,True,True,True,64,1.0,1.0
2VC9,T2,True,True,True,64,1.0,1.0
1NNU,T3,True,True,True,64,1.0,0.825
